"","PARK","WTG","startDT","endDT","OPERATOR","R_DURATION","R_WINDLESS","CODE","ACode","FEONOFF","TEXT","MEMO","WTGnumber"
"34","FOUR_MILE_RIDGE",83304,"07-22-2021 07:08:14","--0 ::","0                   ","0.0","0.0","FM768","","FE_FM768","Shadow bat alert","","11 "
"35","FOUR_MILE_RIDGE",83304,"07-23-2021 02:19:06","07-23-2021 10:47:20","0                   ","30494.200000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"36","FOUR_MILE_RIDGE",83304,"07-23-2021 23:58:15","07-24-2021 04:40:24","0                   ","16928.959999999999","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"37","FOUR_MILE_RIDGE",83304,"07-24-2021 05:13:01","07-24-2021 06:47:49","0                   ","5688.0","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"38","FOUR_MILE_RIDGE",83304,"07-24-2021 08:12:59","07-24-2021 09:32:19","0                   ","4759.9200000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"39","FOUR_MILE_RIDGE",83304,"07-24-2021 09:51:16","07-24-2021 10:47:24","0                   ","3367.3600000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"40","FOUR_MILE_RIDGE",83304,"07-25-2021 04:26:17","07-25-2021 04:57:31","0                   ","1874.04","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"41","FOUR_MILE_RIDGE",83304,"07-26-2021 10:42:38","07-26-2021 10:47:29","0                   ","291.07999999999998","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"42","FOUR_MILE_RIDGE",83304,"07-27-2021 02:05:20","07-27-2021 04:39:08","0                   ","9228.0400000000009","0.0","FM768","avail","FE_FM768","Shadow bat alert","ADMmerged: FM615, ","11 "
"43","FOUR_MILE_RIDGE",83304,"07-27-2021 07:58:52","07-27-2021 08:10:26","0                   ","693.88","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"44","FOUR_MILE_RIDGE",83304,"07-27-2021 08:24:57","07-27-2021 09:39:28","0                   ","4470.3199999999997","0.0","FM768","avail","FE_FM768","Shadow bat alert","ADMmerged: FM615, ","11 "
"45","FOUR_MILE_RIDGE",83304,"07-27-2021 10:22:46","07-27-2021 10:47:06","0                   ","1460.48","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"46","FOUR_MILE_RIDGE",83304,"07-28-2021 08:23:02","07-28-2021 09:41:12","0                   ","4689.9200000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"47","FOUR_MILE_RIDGE",83304,"07-29-2021 00:00:38","07-29-2021 00:45:45","0                   ","2707.3200000000002","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"48","FOUR_MILE_RIDGE",83304,"07-29-2021 02:16:01","07-29-2021 02:35:30","0                   ","1169.0","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"49","FOUR_MILE_RIDGE",83304,"07-29-2021 03:27:23","07-29-2021 04:38:03","0                   ","4240.3599999999997","0.0","FM768","avail","FE_FM768","Shadow bat alert","ADMmerged: FM615, ","11 "
"50","FOUR_MILE_RIDGE",83304,"07-31-2021 07:13:54","07-31-2021 08:32:02","0                   ","4687.8800000000001","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"51","FOUR_MILE_RIDGE",83304,"07-31-2021 09:31:55","07-31-2021 10:47:10","0                   ","4514.6000000000004","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"52","FOUR_MILE_RIDGE",83304,"07-31-2021 23:58:31","07-31-2021 23:59:59","0                   ","88.838999999999999","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"53","FOUR_MILE_RIDGE",83304,"08-01-2021 00:00:00","--0 ::","0                   ","0.0","0.0","FM768","","FE_FM768","Shadow bat alert","since 2021-07-31 23:58:31.160 ","11 "
"54","FOUR_MILE_RIDGE",83304,"08-01-2021 02:03:59","08-01-2021 07:36:54","0                   ","19974.919999999998","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"55","FOUR_MILE_RIDGE",83304,"08-02-2021 10:36:27","08-02-2021 10:47:25","0                   ","658.20000000000005","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
"56","FOUR_MILE_RIDGE",83304,"08-03-2021 23:58:30","08-04-2021 00:08:12","0                   ","582.75999999999999","0.0","FM768","avail","FE_FM768","Shadow bat alert","","11 "
