"","WEA","UnixDT","DateTime","ActivePower_MAX","ActivePower_MEAN","ActivePower_MIN","NacelleWindSpeed_MAX","NacelleWindSpeed_MEAN","NacelleWindSpeed_MIN","Wind Speed Right-hand_MAX","Wind Speed Right-hand","Wind Speed Right-hand_MIN","Operating time - emergency brake routine"
"1","23WEA88868",1643587200,"31/01/2022 00:00",961.111450195312,624.855773925781,267.978149414062,8.63636684417725,5.65456819534302,3.42941045761108,7.20179510116577,5.1943097114563,3.38522219657898,0
"2","23WEA88868",1643587800,"31/01/2022 00:10",1146.46704101562,770.421813964844,504.1728515625,8.74693298339844,6.19210052490234,3.72354388237,8.01771831512451,5.71559190750122,3.75096297264099,0
"3","23WEA88868",1643588400,"31/01/2022 00:20",960.995422363281,694.538269042969,339.336456298828,8.03045558929443,5.96220207214355,3.69160413742065,7.0379786491394,5.57202959060669,3.92293357849121,0
"4","23WEA88868",1643589000,"31/01/2022 00:30",1358.28527832031,804.105102539062,383.603393554688,9.02294826507568,6.18260049819946,3.69315004348755,7.92778301239014,5.71093654632568,3.48748922348022,0
"5","23WEA88868",1643589600,"31/01/2022 00:40",1382.75439453125,1122.25671386719,725.499145507812,9.75653076171875,7.00249719619751,3.86938118934631,8.52792835235596,6.4737491607666,3.92293357849121,0
"6","23WEA88868",1643590200,"31/01/2022 00:50",1338.24645996094,1062.87878417969,826.57861328125,9.95158958435059,7.04169082641602,3.46123838424683,8.73800849914551,6.48637342453003,4.38797998428345,0
"7","23WEA88868",1643590800,"31/01/2022 01:00",1129.47644042969,781.171752929688,530.027587890625,8.8204402923584,6.04528379440308,3.49375033378601,7.45019340515137,5.55965614318848,3.85324954986572,0
"8","23WEA88868",1643591400,"31/01/2022 01:10",1312.01403808594,923.340881347656,505.199310302734,8.94851589202881,6.36346292495728,3.8007333278656,7.73531293869019,5.81755495071411,3.7567834854126,0
"9","23WEA88868",1643592000,"31/01/2022 01:20",1295.25646972656,1060.60168457031,796.208190917969,9.11970615386963,6.74434852600098,3.9467670917511,8.59725856781006,6.20218372344971,4.13656234741211,0
"10","23WEA88868",1643592600,"31/01/2022 01:30",2192.67138671875,1325.62866210938,735.675842285156,11.2691946029663,7.2509388923645,4.09996747970581,10.04163646698,6.7744779586792,4.1447958946228,0
"11","23WEA88868",1643593200,"31/01/2022 01:40",2071.1015625,1352.08288574219,910.86767578125,11.5257978439331,7.15228128433228,4.01823854446411,11.12122631073,6.7045726776123,4.31331825256348,0
"12","23WEA88868",1643593800,"31/01/2022 01:50",2477.42138671875,1666.32788085938,1085.92932128906,10.7542285919189,7.3365273475647,3.91531085968018,9.72968673706055,6.87207794189453,4.22392416000366,0
"13","23WEA88868",1643594400,"31/01/2022 02:00",3999.02954101562,2166.5029296875,1328.29516601562,13.8716659545898,8.4567756652832,4.95383739471436,12.3630285263062,7.96538829803467,5.15174150466919,0
"14","23WEA88868",1643595000,"31/01/2022 02:10",2671.38647460938,2239.44482421875,1799.83239746094,13.9128093719482,10.4197597503662,5.14182758331299,12.809455871582,10.017746925354,6.68676900863647,0
"15","23WEA88868",1643595600,"31/01/2022 02:20",4091.87939453125,2513.89770507812,1665.66796875,13.5291261672974,9.84620475769043,5.0086989402771,12.0804166793823,9.43173408508301,5.77388954162598,0
"16","23WEA88868",1643596200,"31/01/2022 02:30",2861.12182617188,2270.03002929688,1589.16076660156,14.4398174285889,9.31519412994385,5.07331085205078,12.7362766265869,8.96232509613037,5.32729578018188,0
"17","23WEA88868",1643596800,"31/01/2022 02:40",3912.58862304688,2220.52709960938,1396.87927246094,13.8904008865356,9.32739925384521,5.02813911437988,12.5025329589844,8.91901683807373,5.98021221160889,0
"18","23WEA88868",1643597400,"31/01/2022 02:50",2681.93481445312,2085.02465820312,1684.37548828125,13.9813785552979,9.27602958679199,5.29381465911865,12.6484642028809,8.84646415710449,5.81837558746338,0
"19","23WEA88868",1643598000,"31/01/2022 03:00",4029.65380859375,2540.07983398438,1816.54150390625,14.5477991104126,9.73153114318848,5.03413724899292,12.9000816345215,9.36797428131104,5.84218645095825,0
"20","23WEA88868",1643598600,"31/01/2022 03:10",4738.25927734375,2713.12744140625,1872.05749511719,14.6322565078735,10.4412899017334,5.28597736358643,13.9381113052368,10.0715589523315,5.81837558746338,0
"21","23WEA88868",1643599200,"31/01/2022 03:20",2999.31396484375,2221.93701171875,1516.72375488281,14.1875295639038,9.98470401763916,5.44254922866821,13.8031024932861,9.59510326385498,6.51591634750366,0
"22","23WEA88868",1643599800,"31/01/2022 03:30",3980.53735351562,2339.6630859375,1547.6513671875,13.8716659545898,9.33078861236572,5.14489269256592,11.7632246017456,8.86975002288818,5.14901256561279,0
"23","23WEA88868",1643600400,"31/01/2022 03:40",3148.14379882812,2477.34008789062,1906.33251953125,14.1733198165894,9.98755741119385,4.74504995346069,12.5855188369751,9.65795421600342,6.56320285797119,0
"24","23WEA88868",1643601000,"31/01/2022 03:50",4821.11962890625,2733.53369140625,1612.34741210938,14.8603553771973,10.4833297729492,5.83952331542969,13.9184532165527,10.2145690917969,6.56004619598389,0
"25","23WEA88868",1643601600,"31/01/2022 04:00",3195.427734375,2339.546875,1412.12072753906,15.6171855926514,10.4097394943237,5.816575050354,13.6497259140015,10.0387964248657,6.78878688812256,0
"26","23WEA88868",1643602200,"31/01/2022 04:10",4749.2099609375,2742.70068359375,1753.66381835938,15.5780763626099,10.8907566070557,5.54352712631226,14.9587717056274,10.5639219284058,6.1139235496521,0
